ticker,mae,rmse,r2,dpa,long_ret_mean,short_ret_mean,edge_score,status
A,1.4324025190081113,1.961912020213169,-0.08992084706901982,51.905252317198766,0.02686525019772574,-0.007775448144107043,0.03464069834183278,success
AAPL,1.232894765160614,1.7889441753712412,-0.0028337894226160287,53.244078269824925,0.07316800525494124,0.004962855962280989,0.06820514929266025,success
ABBV,1.1333461892120877,1.648746036576272,-0.0019542702793673428,50.208333333333336,0.1855033471209363,0.05490605337229167,0.13059729374864462,success
ABNB,1.3499261026765883,1.8339259845674736,-0.02522487117417538,45.55555555555556,-0.19777426915277133,0.18310489253474044,-0.3808791616875118,success
ABT,1.0023320748520708,1.3914886543507214,-0.007032106619042189,47.78578784757981,-0.008063224803886283,0.02239845483158495,-0.03046167963547123,success
ACN,1.2368264725015845,1.7495686566163076,-0.0017914323399939036,50.21929824561403,-0.008120872831245697,-0.158831578424836,0.15071070559359032,success
ADBE,1.5423606528031704,2.253161638130667,-0.0013109012333911707,49.22760041194645,-0.014516323958271363,-0.05437729781427389,0.03986097385600253,success
ADI,1.5110768825920013,2.1119690123584705,-0.017022334905321568,52.21421215242018,0.17041257552456882,0.028651764151705495,0.1417608113728633,success
ADP,0.9520600086555182,1.3603011121558826,-0.009836040619913167,51.905252317198766,0.010839525440016132,0.0,0.010839525440016132,success
AEE,0.9243935091694558,1.2439548604002066,0.002009731337777265,53.96498455200825,0.05472932329489256,-0.17959008108388191,0.23431940437877447,success
AEM,1.789486732385345,2.3624599725218336,-0.0607982437694321,47.167868177136974,0.4254908997605023,0.14053806031206179,0.2849528394484405,success
AEP,0.9703860240176699,1.3138429663220301,-0.01778848307241887,52.42018537590113,0.07091011927477243,0.035373380691111046,0.03553673858366139,success
AFL,0.940419721671402,1.3331460739525876,-0.005929781649303356,54.685890834191554,0.07501511582822683,0.0,0.07501511582822683,success
AIG,1.151859981508896,1.6261973103816232,-0.003224169131519572,52.21421215242018,0.04243432483151841,0.1498423755579825,-0.10740805072646409,success
AJG,1.0409997322249267,1.4468066007906728,-0.00374458035636982,54.58290422245108,0.03885331311788257,0.0,0.03885331311788257,success
ALB,2.629960249739865,3.5129313831394735,0.0008554040778817606,50.05149330587023,0.09122124273201537,-0.061644514533640705,0.15286575726565607,success
ALGN,2.0405376406115865,3.185603785367768,0.0015259094304342913,50.26852846401718,0.06115788448697908,-0.365243517578028,0.42640140206500704,success
ALL,1.2026094924208086,1.657604827840551,-0.0003188941872351858,51.8022657054583,0.06536277388294714,0.0,0.06536277388294714,success
ALNY,1.7211754009134377,2.683675612611466,-0.003192789666441209,49.93788819875776,0.07600822045251389,0.07199209375184346,0.004016126700670433,success
ALRM,1.3298875357077564,1.846871228856514,0.005948033272885289,49.09560723514212,0.08406743763581738,-0.1615514236804881,0.2456188613163055,success
AMAT,2.005319548313596,2.7348245077366764,-0.00025123055929032745,51.59629248197734,0.16675534672134631,-0.589931022593948,0.7566863693152943,success
AMCR,1.1894602473423967,1.687918935498961,-0.17190548808798134,50.66079295154186,0.018861966895573835,0.016815597269342314,0.0020463696262315208,success
AMD,2.446797385876711,3.432882721408038,-0.0027232335875513325,49.94850669412976,0.13696976084524146,-0.10156483599409831,0.23853459683933975,success
AMGN,1.0980482555547446,1.5624682316162561,-0.010973468180669022,49.53656024716786,0.10928131956105305,0.04656132247479896,0.06271999708625409,success
AMT,1.2821051576341378,1.7230451289257975,-0.00456162884584832,51.18434603501545,0.0003467019833719029,-0.05644195552674503,0.056788657510116934,success
AMZN,1.6533361158944055,2.304126068202219,-0.014277862582577017,53.75901132852729,0.09093374808122628,-0.1281212388356915,0.21905498691691777,success
ANAB,3.3700166751827556,5.13376483421349,-0.026021457540309045,51.07033639143731,0.5855135461771417,0.11829923904829291,0.46721430712884876,success
AON,1.0084241669082428,1.445556064562211,-0.02952034793007563,52.31719876416066,0.016021767043409317,0.0,0.016021767043409317,success
APD,1.154770080831254,1.7222803110955902,0.0003085966860474354,50.9783728115345,0.03658628233718979,0.0,0.03658628233718979,success
APLS,2.578491656656838,3.9419925847713624,-0.006469209530367559,51.178451178451176,-0.7810183269761823,-0.0176760394535622,-0.7633422875226201,success
APPF,1.7651168150853653,2.6665571442429528,-0.016760839298717745,48.57881136950905,-0.08496936998449031,0.09240736534814173,-0.17737673533263204,success
APRE,,,,,,,,skipped_volatile
APTV,1.6761044539398215,2.360652407424177,0.0010272212084238008,51.34099616858238,0.5882480012343471,-0.06218112404966649,0.6504291252840135,success
ARE,1.5277551315205775,2.1393895413492294,-0.005429671690222904,48.81565396498455,-0.094115344079515,0.0,-0.094115344079515,success
ARQT,2.572707680240599,3.7170708234816754,-0.04976350496226778,48.13084112149533,0.13047359986681517,0.42326501854513704,-0.29279141867832187,success
ARVN,2.997367121115676,4.218523608698577,-0.074851679029315,52.27272727272727,0.2424297494217066,0.0,0.2424297494217066,success
ARWR,,,,,,,,skipped_volatile
ASAN,,,,,,,,skipped_volatile
ASML,1.9374454310992908,2.656816222621018,-0.002348396514338269,51.3903192584964,0.16749290441966788,0.030654539789559312,0.13683836463010857,success
AU,2.28844491833423,3.081561521504411,-0.012852893222375927,48.6096807415036,0.22752944471206732,0.23234426912839323,-0.0048148244163259135,success
AVB,1.0800949084772575,1.4396892907847252,-0.0057139407591397795,50.46343975283213,-0.009042718303247129,0.0,-0.009042718303247129,success
AVGO,2.1548216573659107,3.1912680221825354,-0.0020837266399558185,54.75409836065573,0.3089268726535271,-0.25774638155996793,0.566673254213495,success
AWK,1.0607716259826665,1.4233507550238078,-0.009181936093653364,51.82370820668692,0.020751129832881736,-0.013830306235627168,0.0345814360685089,success
AXP,1.300631241074295,1.8407817389196457,-0.004234496755997297,50.15447991761071,0.07750039249006745,0.0727726344561911,0.004727758033876345,success
AZO,1.1022724595148325,1.4965233895925858,-0.007073160015043323,53.3470648815654,0.06970290267390883,0.19423155427884786,-0.12452865160493903,success
BA,1.6037280354879047,2.2949660778079153,-0.0009177141615639428,51.905252317198766,0.050388276273966234,0.048682404657575014,0.0017058716163912205,success
BAC,1.2185500316787743,1.6974118903549624,-0.0029248156796257696,52.00823892893924,0.07783462411555962,0.03699816023104465,0.04083646388451497,success
BAX,1.4482965924445823,2.2354454627981286,0.0008810422573963805,52.00823892893924,0.07273817985993676,-0.16541721241595703,0.23815539227589377,success
BBY,1.6299766587148798,2.346216605585202,-0.005430255766096792,50.77239958805355,0.021051348575697064,-0.008357579277831761,0.029408927853528825,success
BDX,1.020015192032983,1.5063642926328509,-0.00030997392541709523,51.081359423274975,0.01750350476327153,-0.05124902777364666,0.0687525325369182,success
BEAM,,,,,,,,skipped_volatile
BIIB,1.3946375791323589,2.213336923308336,-0.006136854945486103,48.6096807415036,0.009377381747210761,0.013846806593548774,-0.004469424846338013,success
BK,1.1158641723994163,1.5270107692074777,-0.018999215248919343,48.6096807415036,0.1005466966471002,0.1357750264331742,-0.035228329786074014,success
BKNG,1.4257009878789453,1.941918295843333,-0.011697903703425938,47.37384140061792,0.29495352149343146,0.042017137393682284,0.25293638409974917,success
BKR,1.5709841146624732,2.1558468634472394,-0.022540177323489674,48.094747682801234,-0.0286197027935805,0.110813783893808,-0.1394334866873885,success
BL,1.7041422752304631,2.5156211382856366,-0.03030727607097017,54.166666666666664,-0.052753260578169495,-0.1801069157021978,0.1273536551240283,success
BLK,1.189694839347314,1.6881288406242458,0.004382959882652915,52.42018537590113,0.06920124849738764,0.0,0.06920124849738764,success
BLKB,1.3136356720116407,1.9648320681808138,-8.287496793957239e-05,51.37500000000001,0.06772599453852078,-0.0715373858638996,0.13926338040242037,success
BMRN,1.3855203613560247,2.0453266732495896,0.0027816217010396826,51.493305870236874,0.048044735439636346,-0.09955612584394972,0.14760086128358607,success
BMY,1.1103385555880672,1.577432066731347,-0.00018459569198236991,49.22760041194645,0.028372132834492005,-0.030218582297008603,0.058590715131500604,success
BOLD,1.7639557161594335,2.597121026697004,0.03330798240669153,50.877192982456144,0.5357652737737149,-0.330634511553339,0.8663997853270539,success
BRK-A,0.8318844180214505,1.1268609057598147,-0.02087266735330018,51.59629248197734,0.042326105933487276,0.03564415738216518,0.006681948551322099,success
BRK-B,0.8196797820914576,1.1232564755360337,-0.021101932177724825,52.111225540679705,0.09418572963015447,0.0034212651641724674,0.09076446446598199,success
BRO,1.0752303312700238,1.558289023837119,-0.009827186060026749,53.14109165808445,0.016598587479355466,0.0,0.016598587479355466,success
BSX,1.041168176185433,1.5211732981194053,-0.022104443877140945,47.78578784757981,0.22883510732859508,0.03406887312089162,0.19476623420770345,success
BWA,1.5338013965675978,2.1568240797392906,-0.02160227176647167,46.34397528321318,0.3159477670321577,0.07283740362823621,0.2431103634039215,success
C,1.3469122435534586,1.8900976569608874,0.0003913356441177518,52.72914521112255,0.11338872396457851,0.2669158525411275,-0.153527128576549,success
CAG,1.0677614197730505,1.4482230988945188,-0.002345294743605786,51.3903192584964,0.013535024860544809,-0.044688730474950235,0.058223755335495044,success
CARR,1.4829983896152394,2.037055191818778,-0.019000613498721952,48.32535885167464,0.09048007239284954,-0.12446705017206085,0.2149471225649104,success
CAT,1.3876301549381993,1.9230170233975603,0.0005647663953115556,53.656024716786824,0.1541740836151828,-0.07732813872636095,0.23150222234154377,success
CB,0.9280763269110746,1.2704588257166638,-0.002296878445327666,53.55303810504635,0.06332284023226159,0.0,0.06332284023226159,success
CDNS,1.599195990906531,2.2530710317353284,-1.564778846807613e-05,51.59629248197734,0.09797092122232952,0.0,0.09797092122232952,success
CFG,1.4840257964096168,2.135681649069003,-0.09735185233731491,46.875,0.2906376934244559,0.15439870053553367,0.13623899288892222,success
CFLT,,,,,,,,skipped_volatile
CGON,3.2833322014437596,4.883435896767948,-0.12704435143231008,46.03174603174603,0.4979272893567759,0.0,0.4979272893567759,success
CHD,0.9500973534788774,1.3262977543813326,-0.02701930236088068,51.493305870236874,0.03535881888445027,-0.03431452555477027,0.06967334443922055,success
CHRW,1.3043953544453226,2.0728401256699716,-0.0009510570008353092,48.81565396498455,0.059674528057991304,0.18213190542197188,-0.12245737736398057,success
CHTR,1.7153001253358557,2.527414579107598,-0.010876494867060105,53.70370370370371,0.16970161160234984,-0.30061165503235576,0.47031326663470563,success
CHWY,2.0601567044085796,2.8068755510361005,-0.041774013606572735,45.378151260504204,-0.061918107193207166,0.041441475330350475,-0.10335958252355765,success
CI,1.20869305834233,1.8192988797117018,-0.0059997447607695875,46.96189495365603,0.0,0.035291568765245855,-0.035291568765245855,success
CINF,1.1544806567805308,1.6433493743095022,-0.0027413458247858014,52.62615859938208,0.043404680937608506,0.216536953981189,-0.17313227304358048,success
CL,0.9051237765456039,1.1961733726511687,-0.03862331607770941,47.78578784757981,0.10395308345915047,0.03325726264018761,0.07069582081896286,success
CLF,2.637539448423841,3.74431724955196,-0.005411157794869448,50.05149330587023,-0.06256139293387614,0.21658470596799811,-0.27914609890187425,success
CLX,1.1079356117723063,1.525207258864448,-0.0016521252456007662,51.493305870236874,0.011560037976850535,0.0,0.011560037976850535,success
CMA,1.7956660011535908,2.69314053361134,-0.00041751332536321684,48.65702479338843,0.029821410292733268,0.08040997089354596,-0.05058856060081269,success
CMC,1.645405727464093,2.239074098671135,-0.005607814596223504,50.05149330587023,0.0,0.08225510279523622,-0.08225510279523622,success
CMCSA,1.1967091888455632,1.6790528803113416,-0.0007809787348602715,49.63954685890834,-0.0032037578985959565,-0.04534298163731579,0.04213922373871983,success
CME,0.867183704670942,1.1448936581867597,-0.0021891796544823983,55.16840882694542,0.09030445788764913,0.0,0.09030445788764913,success
CMG,1.354036187271538,2.042014739240175,-0.008059283934089612,51.41318977119784,0.0402198502236877,0.0,0.0402198502236877,success
CMS,0.9199531618687211,1.2194611001662927,-0.008917372510347077,53.55303810504635,0.033484115455702894,-0.016510330699374322,0.04999444615507721,success
COIN,,,,,,,,skipped_volatile
COP,1.4928011321953734,2.0557214253420018,0.0016262458656340906,50.77239958805355,0.05221243014435003,0.0,0.05221243014435003,success
COST,1.0281762190626877,1.4666877813306918,-0.00633152314569041,52.9351184346035,0.07010756807995952,0.0,0.07010756807995952,success
CPB,1.1208511867167295,1.5246884973792083,-0.0023821575987161836,48.094747682801234,-0.03214247465785855,0.0,-0.03214247465785855,success
CPRT,1.1491920223510348,1.6013095500601144,0.002306479653352844,52.72914521112255,0.15186728637903585,-0.03590353259067406,0.1877708189697099,success
CPT,1.1353297696783782,1.4836689840988853,-0.02884655903349609,47.68280123583934,-0.0690077117533427,-0.009711570076669705,-0.05929614167667299,success
CRBU,,,,,,,,skipped_volatile
CRM,1.4512875079079577,2.1050538614380274,-0.005080655757523367,50.43586550435866,0.08765994690126973,0.05482708160931069,0.032832865291959036,success
CRNX,2.5146012950402885,3.6869003762257173,-0.006847519991692863,51.470588235294116,0.022143528091419062,0.08932585331476466,-0.0671823252233456,success
CROX,2.1884115727491467,3.308294924244641,-0.012488360457797887,48.852901484480434,-0.10630710301260313,0.22750057615088462,-0.33380767916348775,success
CRSP,2.9345240325950783,3.957364137729231,-0.0060879680477858855,48.6646884272997,0.18268460995200989,0.12706230109247435,0.055622308859535535,success
CRWD,2.0229712900461085,2.849173295400457,-0.0016128133781436738,52.52100840336135,1.0306791119584762,-0.08496957910874775,1.1156486910672239,success
CSCO,1.0062380567475593,1.5142249040013704,-0.0009661114905548107,53.3470648815654,0.09238545574116086,-0.8043789245572398,0.8967643802984007,success
CSX,1.0797822446973258,1.4527110668913146,-0.0011490606916209067,51.3903192584964,0.037767931891214884,0.0,0.037767931891214884,success
CVNA,,,,,,,,skipped_volatile
CVS,1.3022551610910398,1.970159521769616,-0.0004761334136662576,52.523171987641604,0.009474025401190285,0.0,0.009474025401190285,success
CVX,1.146734999352664,1.579351849335056,1.555408097841937e-05,48.30072090628219,0.24535137010194358,0.002615585961637922,0.24273578414030567,success
D,1.0846357410312935,1.4850004306863336,-0.01330860350220986,52.111225540679705,-0.008765992993656843,0.8629300601932214,-0.8716960531868783,success
DASH,1.994367962216536,2.817230873320929,-0.0615611616664451,45.30386740331492,-0.2652957094221283,-0.017036406765552,-0.2482593026565763,success
DD,1.2609819609013577,1.8757972390835347,-0.0011072427999658796,49.63954685890834,0.06777315857070315,0.46702692341418545,-0.3992537648434823,success
DDOG,2.236253633761454,3.4928358161111333,0.003273660359452535,50.66079295154186,0.3235556062047462,0.029703602824282083,0.29385200338046413,success
DE,1.2877563815858588,1.8303747369448338,-0.001874026868984524,52.72914521112255,0.08154926764769685,-0.018339073417528162,0.09988834106522501,success
DECK,1.9229683303901082,2.85836196322153,-0.02711309907007231,49.742533470648816,0.34411009930745806,0.0875566523545945,0.25655344695286353,success
DG,1.5880586384667998,2.5435139662337503,0.0005851278000401638,50.75125208681135,0.21826883160374774,-0.08067212936755237,0.29894096097130013,success
DHI,1.9020659096502246,2.5727404945835266,-0.3093285663890637,50.56642636457261,0.08568612998474057,0.5826412463743602,-0.49695511638961964,success
DHR,1.281481332257043,1.7923210081482732,0.0008910682386910063,51.59629248197734,-0.0015139446710667017,0.011431120907699599,-0.012945065578766301,success
DIS,1.309216320503252,1.913069447244737,-0.008079662886044225,49.12461380020597,-0.01957454742967608,0.21838683650326896,-0.23796138393294503,success
DLR,1.299315230838636,1.7910344063953854,-0.010669968521533457,47.08860759493671,-0.10775356344908393,0.10321465681756542,-0.21096822026664935,success
DLTR,1.6284948735125795,2.5317143730984966,-0.015149347702650307,50.360453141091654,-0.01684229355069317,0.12098965145951941,-0.1378319450102126,success
DOCU,2.1239120312774955,3.1263869794486103,-0.021720414746832173,50.0,-0.19749779099949338,-0.09635718567713059,-0.1011406053223628,success
DOV,1.1364776448484306,1.5882335045920077,-0.004574896353472191,49.94850669412976,-0.016433916134798065,0.07881743013516335,-0.09525134626996141,success
DOW,2.2491754143663707,3.2383760194011115,2.0925108520364333e-05,47.77327935222672,0.01183659731936991,-0.28070421457776773,0.29254081189713765,success
DPZ,1.2344783944951478,1.7625115482095572,0.0008883285973267929,49.56304619225968,0.03558489221375735,0.0,0.03558489221375735,success
DTE,0.9085811209137792,1.219985344699717,-0.0025814260386529675,55.509783728115345,0.026060271027851516,0.06111901150037599,-0.035058740472524476,success
DUK,0.898984200569344,1.1564148683864053,-0.009955247704217962,51.18434603501545,0.09133923011760617,0.0026317200911166153,0.08870751002648955,success
DVN,1.7808412962137001,2.487878172341124,-0.010918332292028543,49.0216271884655,-0.07467190908773601,0.02184434744543972,-0.09651625653317572,success
DXCM,1.7946696853714812,2.9423289842519713,-0.0020881869679545417,51.813471502590666,-0.000824174599518597,0.0,-0.000824174599518597,success
EBAY,1.4295815921703214,2.0770223420067775,-0.0003424844048638409,51.59629248197734,0.08814996755366596,0.05356019152024706,0.034589776033418895,success
ECL,1.0493993284003376,1.4932964400297974,-0.003848639769070905,49.94850669412976,0.12247453307389633,0.030543128301513206,0.09193140477238312,success
ED,0.9231723725563925,1.2024472235748593,0.0003023539941050535,52.832131822863026,0.04177706711415525,-0.09299925833230702,0.13477632544646226,success
EDIT,4.644359656436225,6.374391151434187,-0.006446523169534091,43.956043956043956,-0.05438996324175434,-0.40869286007011885,0.3543028968283645,success
EIX,1.2143246021554261,1.6897831302870143,-0.006180495952985643,52.111225540679705,0.028039317379707985,0.42254343199225003,-0.39450411461254203,success
ELV,1.2409080430905506,1.8517542842361967,-0.0038330241639907836,50.498338870431894,-0.01410892621005869,-0.057290925484038115,0.04318199927397942,success
EMN,1.4573339464404749,2.0759073609472236,-0.012832998913320015,50.46343975283213,0.17413090762282737,-0.018663546651722738,0.1927944542745501,success
EMR,1.210059053028323,1.7251889063344648,-0.0020241913883298768,52.9351184346035,0.07400527799432528,0.0,0.07400527799432528,success
EOG,1.454932127806942,2.0111164441583873,-0.004509289772973046,48.094747682801234,-0.08189586610584693,0.22174910546685728,-0.3036449715727042,success
EQIX,1.250806447256799,1.7637059496449499,-0.013441325466304388,52.21518987341772,0.07778485319066276,-0.11001992870372146,0.1878047818943842,success
EQR,1.0957360702724743,1.4488001617548203,0.0015316925046289231,50.77239958805355,0.04276366988452679,-0.050553651377598256,0.09331732126212505,success
ES,1.1573746868949808,1.5775862213635645,-0.01411230366793581,50.669412976313076,0.08137783104508776,-0.0876043640631891,0.16898219510827686,success
ESS,1.1902606751205729,1.5720368395710005,-0.034948593921047655,51.28733264675592,-0.016118923915191277,0.04685748113528134,-0.06297640505047261,success
ESTC,2.4099784235083854,3.5122601511095177,-0.03685856119660791,52.09125475285171,-0.16862558750059423,-0.5037118831577777,0.3350862956571835,success
ETN,1.364371876946277,1.9217526908338243,8.865566602511699e-06,54.78887744593203,0.14172592901386943,-0.07944054749976168,0.2211664765136311,success
ETR,1.0017288262794974,1.436766894437403,-0.0074744961995039105,52.832131822863026,0.08633431112722319,-0.026424748192439607,0.11275905931966279,success
ETSY,2.3173542222576162,3.185445067650372,-0.004167475287760736,50.12658227848101,0.34410907598270035,-0.003190020333569539,0.3472990963162699,success
EW,1.335002904313449,2.10727695148001,-0.007054592853446451,49.32502596053998,-0.00030040164771082454,0.0,-0.00030040164771082454,success
EWBC,1.6644228745062914,2.36040252900455,-0.017379358474524098,49.845520082389285,0.06012186950613062,0.0892538711433656,-0.029132001637234978,success
EXAS,2.2572887654398697,3.44403606007089,-0.009983240713334895,48.17204301075269,0.06456104371051626,0.2561247873364335,-0.19156374362591727,success
EXC,0.9973383765923759,1.3507953067873602,-0.013028127480122054,49.742533470648816,-0.06029376124009235,0.07491047848995891,-0.13520423973005125,success
